invoice_id,invoice_amount,payment_blocked,escalation_required,escalation_decision_reason,normalized_priority_score,raw_priority_score,sla_hours,auto_resolved,auto_close_flag,communication_required,communication_draft,root_cause_categories,resolution_owners,exceptions_summary,skipped_exceptions_trace,decision_trace
TST-006,15000.0,True,True,,95.24,200.0,48,False,False,False,Drafted communication for TST-006 regarding escalations.,Data Error | Procurement,AP Team | Procurement,Future Date (1.00); PO Not Found (1.00),[],Evaluated Future Date with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 95.24 from 2 evaluated exceptions (Raw: 200.0). | Payment blocked by Future Date. | Escalation required by Future Date. | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 30 points (invoice age = 479 days).
TST-007,15000.0,True,True,,95.24,200.0,48,False,False,False,Drafted communication for TST-007 regarding escalations.,Data Error | Procurement,AP Team | Procurement,Future Date (1.00); PO Not Found (1.00),[],Evaluated Future Date with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 95.24 from 2 evaluated exceptions (Raw: 200.0). | Payment blocked by Future Date. | Escalation required by Future Date. | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 30 points (invoice age = 479 days).
TST-004,4200.0,True,True,,88.1,185.0,24,False,False,False,Drafted communication for TST-004 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00); Vendor Mismatch (1.00); Amount Exceeds Tolerance (1.00); GRN Not Received (1.00); Future Date (1.00),"[{""skipped_rule"": ""Vendor Mismatch"", ""reason"": ""Routing blocked by stop_further_checks (Exact Duplicate Invoice)"", ""confidence_if_evaluated"": 1.0}, {""skipped_rule"": ""Amount Exceeds Tolerance"", ""reason"": ""Routing blocked by stop_further_checks (Exact Duplicate Invoice)"", ""confidence_if_evaluated"": 1.0}, {""skipped_rule"": ""GRN Not Received"", ""reason"": ""Routing blocked by stop_further_checks (Exact Duplicate Invoice)"", ""confidence_if_evaluated"": 1.0}, {""skipped_rule"": ""Future Date"", ""reason"": ""Routing blocked by stop_further_checks (Exact Duplicate Invoice)"", ""confidence_if_evaluated"": 1.0}]",Evaluated Exact Duplicate Invoice with confidence 1.00. | Evaluated Vendor Mismatch with confidence 1.00. | Evaluated Amount Exceeds Tolerance with confidence 1.00. | Evaluated GRN Not Received with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 88.1 from 5 evaluated exceptions (Raw: 185.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Skipped routing for 'Vendor Mismatch' — stop_further_checks active from (Exact Duplicate Invoice). | Skipped routing for 'Amount Exceeds Tolerance' — stop_further_checks active from (Exact Duplicate Invoice). | Skipped routing for 'GRN Not Received' — stop_further_checks active from (Exact Duplicate Invoice). | Skipped routing for 'Future Date' — stop_further_checks active from (Exact Duplicate Invoice). | Age Weight Applied: 30 points (invoice age = 484 days).
TST-013,99999.0,True,True,,85.71,180.0,24,False,False,False,Drafted communication for TST-013 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 85.71 from 1 evaluated exceptions (Raw: 180.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 1260 days).
TST-014,99999.0,True,True,,85.71,180.0,24,False,False,False,Drafted communication for TST-014 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 85.71 from 1 evaluated exceptions (Raw: 180.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 1260 days).
TST-003,8000.0,True,True,,83.33,175.0,48,False,False,False,Drafted communication for TST-003 regarding escalations.,Data Error | Procurement,AP Team | Procurement,Future Date (1.00); PO Not Found (1.00),[],Evaluated Future Date with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 83.33 from 2 evaluated exceptions (Raw: 175.0). | Payment blocked by Future Date. | Escalation required by Future Date. | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 30 points (invoice age = 520 days).
TST-020,7000.0,True,True,,83.33,175.0,48,False,False,False,Drafted communication for TST-020 regarding escalations.,Data Error | Procurement,AP Team | Procurement,Future Date (1.00); PO Not Found (1.00),[],Evaluated Future Date with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 83.33 from 2 evaluated exceptions (Raw: 175.0). | Payment blocked by Future Date. | Escalation required by Future Date. | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 30 points (invoice age = 470 days).
TST-010,1200.0,True,True,,80.95,170.0,48,False,False,False,Drafted communication for TST-010 regarding escalations.,Vendor Submission | Vendor Master Data | Data Error | Procurement,AP Manager | Vendor Master Team | AP Team | Procurement,Missing Required Data (1.00); Vendor Mismatch (1.00); Future Date (1.00); PO Not Found (1.00),[],Evaluated Missing Required Data with confidence 1.00. | Evaluated Vendor Mismatch with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 80.95 from 4 evaluated exceptions (Raw: 170.0). | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by Vendor Mismatch. | Escalation required by Vendor Mismatch. | Payment blocked by Future Date. | Escalation required by Future Date. | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 30 points (invoice age = 466 days).
TST-001,5000.0,True,True,,73.81,155.0,24,False,False,False,Drafted communication for TST-001 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 73.81 from 1 evaluated exceptions (Raw: 155.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 520 days).
TST-002,5000.0,True,True,,73.81,155.0,24,False,False,False,Drafted communication for TST-002 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 73.81 from 1 evaluated exceptions (Raw: 155.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 520 days).
