invoice_id,vendor_name,invoice_number,invoice_amount,currency,po_number,invoice_date
TC-001,Acme Supplies Ltd,INV-A001,10000,USD,PO-6001,2026-05-01
TC-002,Acme Supplies Ltd,INV-A002,10500,USD,PO-6001,2026-05-01
TC-003,Acme Supplies Ltd,INV-A003,11500,USD,PO-6001,2026-05-01
TC-004,BetaTech Corp,INV-B001,5000,USD,PO-6002,2026-05-05
TC-005,BetaTech Corp,INV-B001,5000,USD,PO-6002,2026-05-05
TC-006,BetaTech Corp,INV-B001,5000,USD,PO-6002,2026-05-05
TC-007,Gamma Logistics,INV-G001,8000,GBP,PO-6003,2026-05-08
TC-008,Delta Services,INV-D001,20000,USD,PO-6004,2026-05-10
TC-009,Delta Services,INV-D002,20000,USD,PO-6004,2026-05-11
TC-010,Epsilon Parts,INV-E001,4500,USD,PO-INVALID-999,2026-05-12
TC-011,Zeta Manufacturing,INV-Z001,35000,USD,PO-6005,2026-07-01
TC-012,Eta Consulting,INV-H001,120000,,,2026-05-14
TC-013,Theta Wholesale,INV-T001,17500,USD,PO-6006,2026-05-15
TC-014,Phantom Invoicing LLC,INV-P001,88000,USD,PO-6001,2026-05-16
TC-015,Acme Supplies Ltd,INV-A004,10000,USD,PO-6007,2026-05-17
TC-016,Global Logistics Corp,INV-GL001,800,USD,PO-45003,2026-05-18
TC-017,BetaTech Corp,INV-B002,5000,EUR,PO-6002,2026-05-19
TC-018,Omega Contractors,INV-O001,15000,USD,,2026-05-20
TC-019,Epsilon Parts,INV-E002,4200,USD,PO-6008,2026-05-21
TC-020,Delta Services,INV-D003,20000,USD,PO-6004,2026-05-10
TC-021,Acme Supplies Ltd,INV-A005,9999.99,USD,PO-6001,2026-05-22
TC-022,Zeta Manufacturing,INV-Z002,35000,USD,PO-6005,2027-03-01
TC-023,Theta Wholesale,INV-T002,500,USD,PO-6006,2026-05-24
TC-024,HP Enterprise,INV-HP001,15000,USD,PO-99999,2026-05-25
TC-025,ABC Office Supplies,INV-ABC001,1250,USD,PO-45001,2026-05-26
