invoice_id,invoice_amount,priority_score,payment_blocked,escalation_required,auto_resolved,sla_hours,exceptions_summary
101,4200.0,195.0,True,True,False,24,Amount Exceeds Tolerance | Vendor Mismatch | Exact Duplicate Invoice
105,1200.0,160.0,True,True,False,24,Amount Exceeds Tolerance | Exact Duplicate Invoice
109,5000.0,155.0,True,True,False,24,Exact Duplicate Invoice
102,15000.0,150.0,True,True,False,48,Potential Duplicate Invoice | Currency Mismatch
110,25000.0,150.0,True,True,False,48,Amount Exceeds Tolerance | Currency Mismatch
106,4200.0,145.0,True,True,False,48,Missing Required Data | Vendor Mismatch | Amount Exceeds Tolerance
103,2500.0,130.0,True,True,False,48,Vendor Mismatch | Amount Exceeds Tolerance | Currency Mismatch
104,1250.0,90.0,True,True,False,72,GRN Not Received
107,800.0,90.0,True,True,True,48,Missing Required Data
108,1250.0,90.0,True,True,False,72,GRN Not Received
